Protein	Locations
A0A0D7XVT5_BACAM	3920-3987
I2C7E2_BACAM	1982-2049
A0A1W6HJZ6_BACVA	1539-1606
I2C5E7_BACAM	1313-1380
A0A080URI7_BACIU	4027-4094
A0A0K9M6D3_9BACI	6583-6648
H0KBQ7_9PSEU	4591-4658
A0A1N7E0U3_9BACI	4417-4484
E1UUN0_BACAS	4418-4485
F2LA08_BURGS	7815-7882
A0A1V4FWT6_9BACI	4472-4538
Q1RS53_BACAM	1539-1606
I2HRB9_9BACI	4418-4485
G4EW23_BACIU	3966-4032
A0A0U0CS61_STREE	1539-1606
A0A1D8FKK4_BACIU	4467-4533
A0A1W6HIW0_BACVA	4418-4485
U5U6Q4_BACIU	3972-4038
A0A1D9PM92_9BACI	1982-2049
A0A142FEQ8_BACAM	1539-1606
A0A0H3E374_BACA1	4027-4094
A0A1R1B6M6_PAELA	2663-2730
A0A163DU51_9BACL	2676-2742
A0A1S2F849_9BACL	2662-2729
A0A172XIQ7_9BACI	4418-4485
A0A0E1LRD1_9BACI	1539-1606
A0A142FEQ6_BACAM	1982-2049
H0K8N3_9PSEU	7616-7683
A0A1S6KMD8_BACAM	1539-1606
A0A0H3E1N1_BACA1	4483-4550
A0A1E4Y055_9BACI	3995-4062
U5U6N9_BACIU	4467-4533
A0A0H0SRV3_9BACL	6570-6635
A0A136G777_BACIU	3993-4059
A0A1D9PL07_9BACI	1538-1605
I2HST9_9BACI	1535-1602
A0A1U3L1B1_9MYCO	4419-4486
PKSJ_BACSU	4467-4533
A0A1Q9G026_BACLI	3975-4041
A0A172XKA7_9BACI	1539-1606
A0A164SD78_BACIU	4467-4533
A0A0K6K6Z9_BACCE	3993-4059
S6FYE4_9BACI	1539-1606
A0A125UI43_9BACI	4467-4533
A0A0A0TX16_BACIU	3923-3990
A0A1R1S3K2_9BACI	3996-4063
A0A1A0C7K2_9BACI	1535-1602
A0A136G794_BACIU	4471-4537
H8GC75_9PSEU	7515-7582
A0A1U3X669_9MYCO	1539-1606
M4KYE9_BACIU	188-254
A0A125UID0_9BACI	3966-4032
Q1RS44_BACAM	1982-2049
G4NVE6_BACPT	4471-4537
A0A0D7XKM1_BACAM	1539-1606
A0A080UJC2_BACIU	4483-4550
D4NZD4_PSEFL	7395-7461
A0A081NVN2_9BACL	3266-3333
I2HRC0_9BACI	3916-3983
A0A162Q3U2_BACIU	3962-4028
A0A1B4K592_BURTH	1274-1341
U5U6Q0_BACIU	4467-4533
A0A1A0C9K1_9BACI	1982-2049
A0A1W6R7T5_BACIU	4467-4533
A0A109WG91_9BACI	1539-1606
A0A1A5VJ25_BACAM	4418-4485
A0A150KYP0_BACVA	4483-4550
A5G645_GEOUR	1131-1198
J7FFR9_BURGA	7282-7349
B8I8J9_CLOCE	3430-3496
E5FNE4_SORCE	7471-7538
A0A0U0CFF6_STREE	4419-4486
J8AFP3_BACCE	566-632
A0A1R1CWQ1_9BACL	1682-1748
A0A1D8FKL2_BACIU	3962-4028
A0A059W3A2_STRA9	1214-1280
A0A1R1QP33_9BACI	3996-4063
A0A124UC39_BURGA	7790-7857
A7Z4Y5_BACVZ	4418-4485
PKSL_BACSU	3968-4034
A0A1A0G9Q7_BACIU	3221-3287
A0A0U0D0B9_STREE	1982-2049
A7Z6D4_BACVZ	1982-2049
A0A0M0L2A8_9BACL	3993-4059
F1TD54_9FIRM	1206-1273
A0A172XK61_9BACI	1982-2049
A0A1R1S3N8_9BACI	4470-4536
A7Z4Y6_BACVZ	3921-3988
E0TV42_BACPZ	4470-4536
A0A1N7HN38_9BACI	1539-1606
Q1RS72_BACAM	3921-3988
A0A1U3UXF5_9MYCO	1982-2049
A0A1L3PSZ6_BACIU	4418-4485
A0A150FAK7_9BACI	4420-4488
L8ALD9_BACIU	3962-4028
A0A0N0D6X2_9DELT	8190-8257
A0A0T8PVD0_STREE	1381-1447
L8Q1H6_BACIU	4462-4528
A0A150FAC2_9BACI	3919-3986
A0A0T8PUH7_STREE	3964-4030
S6FMI6_9BACI	1982-2049
J2H8G7_9BACL	6576-6641
A0A172XIS2_9BACI	3917-3984
A0A1L3PUQ0_BACIU	1539-1606
W7Y8P5_9BACL	329-395
A0A0E1LS11_9BACI	4418-4485
A0A132BHV6_9BACI	4472-4538
A7Z6D7_BACVZ	1539-1606
A0A1G4LJB4_BACIU	4471-4537
E0TV43_BACPZ	3988-4054
L8AJZ7_BACIU	4467-4533
E5FNF1_SORCE	3287-3354
G4EW24_BACIU	4468-4534
Q1RS73_BACAM	4418-4485
A0A0U0CFN6_STREE	3919-3986
A0A1U3L0Z5_9MYCO	3916-3983
L8PV10_BACIU	3989-4055
A0A0M0L3C8_9BACL	4471-4537
A0A0X8KDN9_9BACI	3914-3981
A0A1N7HA15_9BACI	1982-2049
A0A142FEF0_BACAM	4511-4578
A0A1N7E0Y3_9BACI	3921-3988
S6G1T3_9BACI	3921-3988
A0A0M9ECL0_9DELT	3853-3919
A0A1D9FLH6_9CLOT	2238-2304
A0A150L0J9_BACVA	4020-4087
A0A0E1LPL3_9BACI	1982-2049
F8FQZ5_PAEMK	2671-2739
A0A0F7EJY1_BRELA	1981-2048
V9G6Y8_9BACL	630-697
U2AQV6_9BACI	4467-4533
A0A1E4Y050_9BACI	4472-4538
A0A142FEF1_BACAM	3917-3984
A0A1R1CWP5_9BACL	1173-1238
W4BHI6_9BACL	2676-2742
I0F4J9_9BACI	4463-4529
S6FXN1_9BACI	4418-4485
Q2T4N8_BURTA	1271-1338
A0A0X8KDN0_9BACI	4414-4481
A0A1L3PUL3_BACIU	1982-2049
I2HST6_9BACI	1982-2049
I2C5E8_BACAM	3916-3983
A0A1W6HJQ1_BACVA	1982-2049
A0A0D7XVR7_BACAM	4418-4485
A0A1S6KMD2_BACAM	1982-2049
A5G642_GEOUR	6546-6613
